hometown,country
"Brownsville, TX",USA
"DeSoto, TX",USA
"Harlingen, TX",USA
"Roswell, N.M.",USA
"Griffin, GA",USA
"Inman, SC",USA
"Ulysses, KS",USA
"Coronado, CA",USA
"New London, OH",USA
"Waxhaw, NC",USA
"Knoxville, TN",USA
"Cumming, GA",USA
"Lighthouse Point, FL",USA
"Norcross, GA",USA
"Blythewood, SC",USA
"Lakeland, TN",USA
"Upper Marlboro, MD",USA
"South Elgin, IL",USA
"Tabor City, NC",USA
"Benson, NC",USA
"St. Albans, MO",USA
"Lemont, Ill.",USA
"Gwinnett, Ga.",USA
"Rock Hill, SC",USA
"Anderson, SC",USA
"Chapel Hill, NC",USA
"Pittstown, NJ",USA
"Greer, S.C.",USA
"Aiken, S.C.",USA
"Washington, Okla.",USA
"Riverside, CA",USA
"Pacific Palisades, CA",USA
"Simi Valley, CA",USA
"Valencia, CA",USA
"Oak Hills, CA",USA
"West Hills, CA",USA
"Winchester, CA",USA
"Oceanside, CA",USA
"Rohnert Park, CA",USA
"Cleveland, OH",USA
"Oakdale, CA",USA
"Dayton, OH",USA
"Columbus, OH",USA
"Manassas, VA",USA
"Labelle, FL",USA
"Frederick, MD",USA
"Syracuse, UT",USA
"Hoyt, KS",USA
"Charleston, WV",USA
"Somerset, PA",USA
"Escondido, CA",USA
"Apple Valley, CA",USA
"Cincinatti, OH",USA
"Shaker Heights, OH",USA
"Sebring, FL",USA
"Highland, UT",USA
"West Palm Beach, FL",USA
"Plain City, OH",USA
"Burlington, KY",USA
"Fort Gay, W.Va.",USA
"New Martinsville, W.Va.",USA
"Shady Spring, W.Va.",USA
"Cool Ridge, W.Va.",USA
"Charmco, W.Va.",USA
"Lindside, W.Va.",USA
"Big Chimney, W.Va.",USA
"Bluefield, W.Va.",USA
"Orangeburg, S.C.",USA
"Lewisburg, W.Va.",USA
"Ocean, N.C.",USA
"Boiling Springs, S.C.",USA
"Atlanta, IL",USA
"Wildwood, MO",USA
"Bentonville, AR",USA
"Broken Arrow, OK",USA
"Rogersville, MO",USA
"Waynesville, MO",USA
"Kansas City, MO",USA
"Joplin, MO",USA
"Ozark, MO",USA
"Springfield, MO",USA
"Jefferson City, MO",USA
"Marion, IA",USA
"Wheeling, W.Va.",USA
"Madisonville, TX",USA
"Schertz, TX",USA
"Belton, TX",USA
"Fulshear, TX",USA
"Rosenberg, TX",USA
"Cypress, TX",USA
"Wichita Falls, TX",USA
"Burleson, TX",USA
"Troy, TX",USA
"Crawford, TX",USA
"Wylie, TX",USA
"Celina,TX",USA
"Arlington,TX",USA
"Haslet, TX",USA
"Lewisville, N.C.",USA
"Topeka, KS",USA
"Emporia, KS",USA
"Laredo, TX",USA
"Hays, KS",USA
"Atchison, KS",USA
"Lebo, KS",USA
"New Strawn, KS",USA
"Pflugerville, TX",USA
"Council Grove, KS",USA
"Stillwater, OK",USA
"Herington, KS",USA
"Harmony, NC",USA
"Charleston, SC",USA
"Glencoe, AL",USA
"Spotsylvania, VA",USA
"Summerville, SC",USA
"Davie County, NC",USA
"Belton, SC",USA
"Pendleton, SC",USA
"Pauline, SC",USA
"Indian Land, SC",USA
"Lugoff, SC",USA
"Carolina Forest, SC",USA
"Tomball, TX",USA
"Greenville, SC",USA
"Fort Mill, SC",USA
"Bridgeport, W.Va.",USA
"Rio Rancho, N.M.",USA
"Farmington, N.M.",USA
"Aztec, N.M.",USA
"Winterville, NC",USA
"Smithfield, UT",USA
"Campbellsville, KY",USA
"Pickens, SC",USA
"Quincy, FL",USA
"Myrtle Beach, SC",USA
"Albertville, MN",USA
"Plano, TX",USA
"Tega Cay, SC",USA
"Fayetteville, NC",USA
"Easley, SC",USA
"Sharpsburg, GA",USA
"Mount Holly, NC",USA
"Victoria, MN",USA
"Waxhaw, N.C.",USA
"North Huntington, Pa.",USA
"Bolivar, N.Y.",USA
"Bloomery, W.Va.",USA
"Cortlandt Manor, N.Y.",USA
"Monroe, NY",USA
"Missoula, Mont.",USA
"Butler, PA",USA
"Greensburg, PA",USA
"Pottstown, PA",USA
"Evansville, IN",USA
"Silver Spring, MD",USA
"Massillon, OH",USA
"Pittsburgh, PA",USA
"Forest Hills, PA",USA
"Webster,NY",USA
"Saint Marys, OH",USA
"Creighton, PA",USA
"Youngstown, OH",USA
"Clarence, NY",USA
"Green, OH",USA
"Skippack, PA",USA
"Seattle, WA",USA
"Glenville, W.Va.",USA
"Philippi, W.Va.",USA
"Saint Mary's, W.Va.",USA
"Walnut Cove, N.C.",USA
"Deep Gap, N.C.",USA
"Sophia, N.C.",USA
"York, S.C.",USA
"Little Rock, AR",USA
"Cabot, AR",USA
"Collierville, TN",USA
"Alexander, AR",USA
"Grand Prairie, TX",USA
"Farmington, AR",USA
"Greenwood, AR",USA
"Jonesboro, AR",USA
"Sewell, N.J.",USA
"Mullica Hill, N.J.",USA
"Queens, N.Y.",USA
"Moore, S.C.",USA
"Temecula, CA",USA
"Rancho Cucamonga, CA",USA
"Salinas, CA",USA
"Cerritos, CA",USA
"San Francisco, CA",USA
"Glendale, CA",USA
"Carlsbad, CA",USA
"Poway, CA",USA
"San Fernando, CA",USA
"San Mateo, CA",USA
"Mukilteo, WA",USA
"Alameda, CA",USA
"Weare, N.H.",USA
"Somersworth, N.H.",USA
"Rochester, N.H.",USA
"Strafford, N.H.",USA
"Westerly, R.I.",USA
"Raymond, N.H.",USA
"Alton, N.H.",USA
"Sherwood, OR",USA
"Olathe, KS",USA
"Lubbock, TX",USA
"Overland Park, KS",USA
"Murphy, TX",USA
"Castle Pines, CO",USA
"Cedar Springs, MI",USA
"Hudsonville, MI",USA
"Watertown, SD",USA
"Argyle, TX",USA
"Tucson, AZ",USA
"Mulhall, OK",USA
"Jamestown, N.C.",USA
"Woodleaf, N.C.",USA
"North Platte, NE",USA
"Stilwell, KS",USA
"Lexington, NE",USA
"Lindsborg, KS",USA
"Limon, CO",USA
"Minden, NE",USA
"David City, NE",USA
"Dannebrog, NE",USA
"Alliance, NE",USA
"Eureka, MO",USA
"Henderson, NE",USA
"Fairbury, NE",USA
"Kearney, NE",USA
"Fulton, NY",USA
"Horseheads, NY",USA
"Hopewell, PA",USA
"Canandaigua, NY",USA
"Irondequoit, NY",USA
"Buffalo, NY",USA
"Fort Plain, NY",USA
"Rome, NY",USA
"Grant, MI",USA
"Livonia, NY",USA
"Newark, NY",USA
"Victor, NY",USA
"Windsor, NY",USA
"Seneca Falls, NY",USA
"Morrisville, NY",USA
"Honeoye Falls, NY",USA
"Avon, NY",USA
"Milaca, Minn.",USA
"Prior Lake, Minn.",USA
"Lincolnton, N.C.",USA
"East Bend, N.C.",USA
"Bryson City, N.C.",USA
"Mount Holly, N.C.",USA
"Dobson, N.C.",USA
"Davie County, N.C.",USA
"Conway, S.C.",USA
"Advance, N.C.",USA
"Bloomington, Minn.",USA
"Sewickley, PA",USA
"Anchorage, AK",USA
"Gibsonia, PA",USA
"Hummelstown, PA",USA
"Bel Air, MD",USA
"North Huntingdon, PA",USA
"Derry, PA",USA
"New Castle, PA",USA
"West Mifflin, PA",USA
"Cranberry Township, PA",USA
"Graham, N.C.",USA
"Otsego, Minn.",USA
"Midland, TX",USA
"New Braunfels, TX",USA
"Beaumont, TX",USA
"Shiner, TX",USA
"Bryan, TX",USA
"Longview, TX",USA
"Marshall, TX",USA
"Dayton, TX",USA
"Lake Kiowa, TX",USA
"White Plains, MD",USA
"King of Prussia, PA",USA
"Wilmington, DE",USA
"Egg Harbor City, NJ",USA
"Abington, PA",USA
"Maple Shade, NJ",USA
"Sewell, NJ",USA
"Pottsville, PA",USA
"Ridley Park, PA",USA
"Bethlehem, PA",USA
"Macungie,PA",USA
"East Norriton, PA",USA
"Swedesboro, NJ",USA
"Royersford, PA",USA
"Cherry Hill, NJ",USA
"LaFayette, Georgia",USA
"Manhasset, N.Y.",USA
"Merrimack, N.H.",USA
"West Fargo, N.D.",USA
"Bismarck, N.D.",USA
"Fargo, N.D.",USA
"Chisholm, Minn.",USA
"Horace, N.D.",USA
"Isanti, Minn.",USA
"Mounds View, Minn.",USA
"Pequot Lakes, Minn.",USA
"Granite Falls, Minn.",USA
"Troutman, N.C.",USA
"Clayton, N.C.",USA
"Whispering Pines, N.C.",USA
"Laurinburg, N.C.",USA
"Myrtle Beach, S.C.",USA
"Thomasville, N.C.",USA
"Greenville, N.C.",USA
"Rougemont, N.C.",USA
"Roxboro, N.C.",USA
"Fuquay, N.C.",USA
"Sanford, N.C.",USA
"Wake Forest, N.C.",USA
"Norco, CA.",USA
"Jackson, N.J.",USA
"Paterson, N.J.",USA
"Hi Nella, N.J.",USA
"Hackettstown, N.J.",USA
"Flemington, N.J.",USA
"Southampton, UK",USA
"Tea, S.D.",USA
"Marlton, N.J.",USA
"Platte City, MO",USA
"Batesburg-Leesville, S.C.",USA
"Jacksonville, FL",USA
Chesapeake VA,USA
"Summerville, S.C.",USA
"Sumter, S.C.",USA
"Belle Isle, FL",USA
"Mt. Pleasant, MI",USA
"Oreana, IL",USA
"Champlin, Minn.",USA
"Madison, S.D.",USA
"Rapid City, S.D.",USA
"Victoria, Minn.",USA
"Pierre, S.D.",USA
"Delano, Minn.",USA
"Harrisburg, S.D.",USA
"Brandon, S.D.",USA
"Wisconsin Rapids, WI",USA
"Harrison, NE",USA
"Backus, MN",USA
"La Valle, WI",USA
"Keewatin, MN",USA
"Dassel, MN",USA
"Mellen, WI",USA
"Gaylord, MI",USA
"Ashland, WI",USA
"Walbridge, OH.",USA
"Westerville, OH.",USA
"Powell, OH.",USA
"Greenwood, IN.",USA
"Dennison, OH.",USA
"Akron, OH.",USA
"Senecaville, OH.",USA
"Overland Park, KS.",USA
"New Knoxville, OH.",USA
"Lewisburg, W. Va.",USA
"Cincinnati, OH.",USA
"Washington, PA.",USA
"Perrysburg, OH.",USA
"Archbold, OH.",USA
"Oregon, OH.",USA
"New Martinsville, WV.",USA
"Malone, Wisc.",USA
"Seaford, DE",USA
"Falling Waters, WV",USA
"Smithsburg, MD",USA
"Lisbon, ME",USA
"East Earl, PA",USA
"Southampton, PA",USA
"Sturgis, SD",USA
"Westminster, MD",USA
"Bethesda, MD",USA
"Tempe, AZ",USA
"Kingsley, PA",USA
"Bensalem, PA",USA
"Jamesville, NY",USA
"Channahon, IL",USA
"Round Lake, IL",USA
"North Aurora, IL",USA
"Glendale Heights, IL",USA
"Park Forest, IL",USA
"Tinley Park, IL",USA
"Sterling, IL",USA
"Batavia, IL",USA
"Greencastle, IN",USA
"Elgin, IL",USA
"Ottawa, IL",USA
"Wood Dale, IL",USA
"Chillicothe, IL",USA
"Oak Lawn, IL",USA
"Country Club Hills, IL",USA
"New Lenox, IL",USA
"Albuquerque, N.M",USA
"Wallkill, N.Y.",USA
"DeSoto, Kan.",USA
"Cooper, Mo.",USA
"Willow Springs, N.C.",USA
"West Columbia, S.C.",USA
"Lowgap, N.C.",USA
"Clermont, Fla.",USA
"Tacoma, WA",USA
"Carson, CA",USA
"Yakima, WA",USA
"Aiea, HI",USA
"Placentia, CA",USA
"Renton, WA",USA
"Camas, WA",USA
"Henderson, NV",USA
"Tigard, OR",USA
"Fairview, OR",USA
"West Potomac, Va.",USA
"Leander, TX",USA
"Scottsdale, AZ",USA
"Celina, TX",USA
"Kelseyville, CA",USA
"Godley, TX",USA
"Tampa, FL",USA
"Bellville, TX",USA
"Rockwall, TX",USA
"Waipahu, HI",USA
"Lake Mary, FL",USA
"Chesapeake, VA",USA
"Aubrey, TX",USA
"Homer, NY",USA
"Rockledge, FL",USA
"Ashburn, VA",USA
"Pine City, NY",USA
"Leesburg, VA",USA
"East Greenbush, NY",USA
"Poughkeepsie, NY",USA
"Constableville, NY",USA
"Tonawanda Seneca Nation Territory, NY",USA
"Roanoke, VA",USA
"Baldwinsville, NY",USA
"Hilton, NY",USA
"Cicero, NY",USA
"Mahopac, NY",USA
"Penfield, NY",USA
"Huron, S.D.",USA
"Dakota Dunes, S.D.",USA
"Ridgeley, W. Va.",USA
"McDonald, Pa.",USA
"Daybrook, W. Va.",USA
"St. Albans, W.Va.",USA
"Clendenin, W.Va.",USA
"Huntington, W.Va.",USA
"Kenova, W.Va.",USA
"Wingate, N.C.",USA
"Belington, W.Va.",USA
"Argonia, KS",USA
"Louisburg, KS",USA
"El Paso, TX",USA
"Animas, NM",USA
"Liberal, KS",USA
"Sweet Home, OR",USA
"Hillsboro, OR",USA
"Bend, OR",USA
"Santa Ana, CA",USA
"Keaau, HI",USA
"Santa Rosa, CA",USA
"Lynnwood, WA",USA
"Oregon City, OR",USA
"Enumclaw, WA",USA
"Beaverton, OR",USA
"Albany, OR",USA
"Custer, WA",USA
"Maple Valley, WA",USA
"Ridgefield, WA",USA
"Lake Stevens, WA",USA
"Lynden, WA",USA
"Bellingham, WA",USA
"Ferndale, WA",USA
"Federal Way, WA",USA
"Kent, WA",USA
"Vancouver, WA",USA
"Olympia, WA",USA
"Spokane, WA",USA
"Snohomish, WA",USA
"Bothell, WA",USA
"Issaquah, WA",USA
"Bellevue, WA",USA
"Puyallup, WA",USA
"Queensbury, N.Y.",USA
"Fort Edward, N.Y.",USA
"South Glens Falls, N.Y.",USA
"Schenectady, N.Y.",USA
"Epping, N.H.",USA
"Rochester, NY",USA
"Franklin, TN",USA
"Endwell, NY",USA
"Hammondsport, NY",USA
"Herndon, VA",USA
"Westchester, PA",USA
"Fairport, NY",USA
"Minooka, IL",USA
"Cambridge, MN",USA
"Tipp City, OH",USA
"Huntsville, AL",USA
"Syracuse, NY",USA
"Grand Island, NY",USA
"Clemmons, N.C.",USA
"Roanoake, Va.",USA
"Plymouth, Ind.",USA
"Bridgewater, N.J.",USA
"Goodland, Minn.",USA
"Gastonia, N.C.",USA
"Miami Beach, FL",USA
"Lake Forest, IL",USA
"Los Altos, CA",USA
"Skokie, IL",USA
"Hermosa Beach, CA",USA
"Aurora, CO",USA
"Piedmont, CA",USA
"Missoula, MT",USA
"El Granada, CA",USA
"San Jose, CA",USA
"Chatsworth, CA",USA
"Denver, CO",USA
"Worcester, MA",USA
"Portsmouth, NH",USA
"Green Oaks, IL",USA
"San Rafael, CA",USA
"Golden, CO",USA
"Redondo Beach, CA",USA
"Seal Beach, CA",USA
"Binghamton, N.Y.",USA
