School,Name,Position,Class,Height,Hometown,High School
Wisconsin,MJ Hammill,Setter,Sr.,,"Greenwood, Ind.",Center Grove
Wisconsin,Gabby  McCaa,Middle Blocker,Gr.,,"Minneapolis, Minn.",St. Louis Park
Wisconsin,CC Crawford,Middle Blocker,Sr.,,"Lansing, Kan.",Lansing
Wisconsin,Devyn Robinson,Middle Blocker/Right Side,Sr.,,"Ankeny, Iowa",Ankeny Centennial
Wisconsin,Izzy  Ashburn,Setter,Gr.,,"Dayton, Minn.",Champlin Park
Wisconsin,Temi Thomas-Ailara,Outside Hitter,Gr.,,"Glenwood, Ill.",Marian Catholic
Wisconsin,Sarah Franklin,Outside Hitter,Sr.,,"Lake Worth, Fla.",Lake Worth Christian
Wisconsin,Anna Smrek,Middle Blocker/Right Side Hitter,Jr.,,"Welland, Ontario",Notre Dame College School
Wisconsin,Ella Wrobel,Outside Hitter,So.,,"Plainfield, Ill.",Plainfield North
Wisconsin,Gulce Guctekin,Libero,So.,,"Istanbul, Turkey",Kadikoy Private Atacan
Wisconsin,Julia Orzol,Outside Hitter,Jr.,,"Olsztyn, Poland",Liceum Ogolnoksztalcace Mistrzostwa Sportowego
Wisconsin,Carter Booth,Middle Blocker,So.,,"Denver, Colo.",Cherry Creek
Bellarmine,Natalie Bland,Outside Hitter,Fr.,,"Aiken, SC",Aiken
Bellarmine,Gabby Brissett,Right Side/Outside Hitter,So.,,"Coral Springs, FL",Calvary Christian Academy
Bellarmine,Macie Garrison,Setter,Sr.,,"Sellersburg, IN",Silver Creek
Bellarmine,Anna Lococo,Defensive Specialist/Libero,Sr.,,"Louisville, KY",Sacred Heart
Bellarmine,Anna Purichia,Outside Hitter,Jr.,,"New Albany, IN",Providence
Bellarmine,Jayda Harris,Middle Blocker,Jr.,,"Benton, KY",McCracken County
Bellarmine,Maddie Hagan,Outside/Right Side Hitter,Fr.,,"Louisville, KY",Mercy
Bellarmine,Bailey Venard,Outside Hitter,Sr.,,"Cincinnati, OH",St. Ursula
Bellarmine,Kylie VanHoy,Setter/Opposite,So.,,"Loogootee, IN",Loogootee
Bellarmine,Hallie Westmeyer,Middle Blocker,Jr.,,"Troy, OH",Troy High School
Bellarmine,Morgan Caba,Defensive Specialist/Libero,So.,,"Georgetown, KY",Great Crossing
Bellarmine,Ashley Nordmann,Middle Blocker,Jr.,,"DeWitt, MI",Lansing Christian High School
Bellarmine,Tessa Nauert,Defensive Specialist/Libero,So.,,"Louisville, KY",Whitefield Academy
Bellarmine,MaryAnn O'Toole,Outside Hitter,Gr.,,"Louisville, KY",Assumption
Bellarmine,Emma Keeter,Defensive Specialist/Libero,TI,,"Louisville, KY",Farnsley Middle School
Bellarmine,Jess Schmidt,Middle Blocker,Fr.,,"Glen Ellyn, IL",St. Francis
Bellarmine,Mara Perry,Defensive Specialist/Libero,Sr.,,"Muncie, IN","Indiana Academy for Science, Mathematics, and Humanities"
Boston College,Grace Penn,Setter,Sr.,,"Manhattan Beach, Calif.",Notre Dame
Boston College,Halle Schroder,Outside Hitter,Fr.,,"Frisco, Texas",Reedy High School
Boston College,Chandler Swanson,Defensive Specialist,Fr.,,"Fort Myers, Fla.",Canterbury
Boston College,Anna Murphy,Libero,Sr.,,"Zionsville, Ind.",Zionsville
Boston College,Sophia Lambros,Setter,Sr.,,"Fullerton, Calif.",Rosary
Boston College,Jenna Pollock,Middle Blocker,Jr.,,"St. Catharines, Ont.",Sir Winston Churchill
Boston College,Hanna Hoffman,Setter,So.,,"Menlo Park, Calif.",Menlo School
Boston College,Grace Milliken,Middle Blocker,So.,,"Lucas, Texas",Lovejoy High School
Boston College,Katrina Jensen,Outside Hitter,Sr.,,"Temecula, Calif.",Great Oak
Boston College,Peyton Minyard,Middle Blocker,Sr.,,"Coppell, Texas",Coppell
Boston College,Alayna Crabtree,Outside Hitter,Sr.,,"Normal, Ill.",University High
Boston College,Sam Hoppes,Opposite,Fr.,,"Trophy Club, Texas",Byron Nelson
Boston College,Audrey Ross,Outside Hitter,Fr.,,"Danville, Calif.",San Ramon Valley
Boston College,Anna Herrington,Middle Blocker,So.,,"Orlando, Fla.",Timber Creek
Boston College,Brooklyn Yelland,Defensive Specialist,Fr.,,"Laguna Beach, Calif.",Laguna Beach
Boston College,Cornelia Roach,Middle Blocker,Jr.,,"Greenwich, Conn.",Greenwich
Boston College,Jane Petrie,Setter,Jr.,,"San Diego, Calif.",Point Loma
Boston College,Audrey Della Vedova,Opposite,So.,,"San Clemente, Calif.",San Clemente
Boston College,Nikki Steinheiser,Outside Hitter,Jr.,,"Celina, Texas",Prosper
Boston College,Julia Haggerty,Middle Blocker,Jr.,,"Lafayette, Calif.",Carondelet
Oregon State,Emily Bourne,OH/OPP,Sr.,6' 0'',"Corvallis, Ore.",Santiam Christian HS
Oregon State,Aliyah McDonald,MB,Sr.,6' 0'',"Pearland, Texas",Glenda Dawson HS
Oregon State,Mychael Vernon,OH,Sr.,5' 11'',"Ossining, N.Y.",Ossining HS
Oregon State,Amanda  Burns,O/S,Jr.,6' 1'',"Manhattan Beach, Calif.",Mira Costa HS
Oregon State,Ava Pitchford,S,Gr.,5' 9'',"Norcross, Ga.",Alpharetta
Oregon State,Peyton Suess,OH,Gr.,6' 1'',"Kasson, Minn.",Kasson Mantorville HS
Oregon State,Elizabeth Schuster,S,Gr.,5' 7'',"Long Beach, Calif.",Long Beach Poly HS
Oregon State,Liepa Lavickyte,MB,R-Fr.,6' 1'',"Sandnes, Norway",Toppovolley Norway
Oregon State,Ryan White,DS/L,Jr.,5' 6'',"Richland, Wash.",Richland HS
Oregon State,Vivian Light,OH,Jr.,6' 1'',"Sloughhouse, Calif.",Pleasant Grove HS
Oregon State,Lauren Rumel,OH,So.,6' 2'',"Tucson, Ariz.",Catalina Foothills HS
Oregon State,Kinley Swan,MB,So.,6' 2'',"Orem, Utah",Lone Peak
Oregon State,Doga Diraz,O,Fr.,6' 3'',"Ankara, Turkey",Incek Doga College
Oregon State,Megan Sheridan,O,Gr.,6' 1'',"Zionsville, Ind.",Zionsville HS
Oregon State,Keira Herron,L,So.,5' 7'',"College Station, Texas",College Station
Oregon State,Iris Coba,DS/L,Jr.,5' 7'',"Lodi, Italy",Murrieta Valley HS
Belmont,Connie  Kofoed,Outside Hitter/Defensive Specialist,Fr.,,"Charlotte, N.C.",Charlotte Christian School
Belmont,Rachel McBride,Libero/Defensive Specialist,Sr.,,"Decatur, Ind.",Bellmont HS
Belmont,Brenna Kauffeld,Outside Hitter/Right Side,R-Fr.,,"Ashville, Ohio",Teays Valley HS
Belmont,Kamryn Olson,S,Sr.,,"LaSalle, Ill.",LaSalle-Peru HS
Belmont,Ally Peterson,Outside Hitter/Defensive Specialist,Sr.,,"Kenyon, Minn.",Kenyon-Wanamingo HS
Belmont,Kristen Clemons,Middle Blocker,Jr.,,"Louisville, Ky.",Sacred Heart Academy
Belmont,Emily Warmenhoven,Outside Hitter,R-Fr.,,"West Linn, Ore.",West Linn HS
Belmont,Lilly Lutz,Defensive Specialist/Libero,So.,,"Greenfield, Wisc.",Catholic Memorial HS
Belmont,Mary Smith,Right Side,So.,,"Cleveland, Tenn.",Cleveland HS
Belmont,Brooke Gilleland,Outside Hitter,So.,,"Murfreesboro, Tenn.",Siegel HS
Belmont,Anna  Supe,Outside Hitter/Defensive Specialist,Fr.,,"Indianapolis, Ind.",Park Tudor School
Belmont,Izzy Schauer,Setter,Sr.,,"Watertown, Wisc.",Watertown HS
Belmont,Sydney Willis,Middle Blocker,Sr.,,"Old Hickory, Tenn.",Donelson Christian Academy
Belmont,Elizabeth Godfrey,Libero/Defensive Specialist,Jr.,,"Elizabethtown, Ky.",Elizabethtown HS
Belmont,Erina Shin,Setter,Jr.,,"Nashville, Tenn.",Ensworth HS
Belmont,Missy Sterkel,Outside Hitter/Right Side Hitter,Jr.,,"Chesterland, Ohio",Notre Dame Cathedral Latin
Belmont,Laura Shoopman,Right Side,Sr.,,"Salem, Wisc.",Westosha Central HS
Belmont,Ezgi  Dokuzlar,Opposite/Middle Blocker,Gr.,,"Ankara, Turkey",Ayseabla College
Belmont,Alex Williams,Middle Blocker,Fr.,,"Wilson, N.C.",James B. Hunt HS
California,Sophia Johnson,Libero,Fr.,,"Wayzata, Minn.",Wayzata
California,Maggie Li,Outside Hitter,Fr.,,"Beijing, China",The Experimental High School
California,Paige Morningstar,Setter,R-So.,,"Pittsburgh, Penn.",North Allegheny/Louisville
California,Mikayla Hayden,Middle Blocker,So.,,"Buford, Ga.",Buford
California,Ellie  Hamm,Middle Blocker,Jr.,,"Merced, Calif.",Merced
California,Sarah Schrag,Libero,Jr.,,"San Diego, Calif.",The Bishop's School
California,Kendall  Jensen,Setter,Sr.,,"Burbank, Calif.",Village Christian
California,Natalie Lau,Setter,So.,,"San Francisco, Calif.",St. Ignatius
California,Tara DeSa,Libero,Sr.,,"Mililani, Hawai'i",Kamehameha
California,Sawyer Thomsen,Middle Blocker,Fr.,,"Lawrence, Kan.",Lawrence Free State
California,Sam Taumoepeau,Outside Hitter,Sr.,,"San Diego, Calif.",Mt. Carmel
California,Annalea Maeder,Setter,Jr.,,"Basel, Switzerland",Gymnasium Baumlihof
California,Ashley Li,Outside Hitter,Fr.,,"Diamond Bar, Calif.",Walnut
California,Ava Mehrten,Opposite,R-So.,,"Alamo, Calif.",Carondelet
California,Sophie Scott,Middle Blocker,So.,,"Portland, Ore.",The Catlin Gabel School
California,Peyton DeJardin,Outside Hitter,So.,,"Pasadena, Calif.",Flintridge Sacred Heart Academy
Central Michigan,Devon Bright,Outside Hitter,Gr.,,"Milton, Ga.",Milton
Central Michigan,Natalia Rejment,Outside Hitter,So.,,"Rzeszow, Poland",Sport Championship School
Central Michigan,Lauren Schrock,Outside Hitter,Jr.,,"Mount Vernon, Iowa",Mount Vernon
Central Michigan,Emma Dukate,Libero/Defensive Specialist,Jr.,,"Sylvania, Ohio",Northview
Central Michigan,Krystina Kasson,Opposite,Jr.,,"Kalamazoo, Mich.",Hackett Catholic Prep
Central Michigan,Allie Korba,Setter,So.,,"Arlington Heights, Ill.",John Hersey
Central Michigan,Abby Olin,Middle Blocker/Outside Hitter,R-So.,,"Coopersville, Mich.",Coopersville
Central Michigan,Austyn DeWeese,Middle Blocker,Sr.,,"Kingsley, Mich.",Kingsley
Central Michigan,Alina  Anderson,Defensive Specialist/Libero,So.,,"Rockford, Mich.",Rockford
Central Michigan,Aly Gurtiza,Libero/Defensive Specialist,Jr.,,"Greenwood, Mo.",Lee's Summit West
Central Michigan,Ella Peter,Middle Blocker,So.,,"Noblesville, Ind.",Noblesville
Central Michigan,Maddy Gebhardt,Outside Hitter,So.,,"Montrose, Mich.",Powers Catholic
Central Michigan,Claire Ammeraal,Setter,So.,,"Madison, Wis.",Lafollette
Central Michigan,Kayla Brandon,Libero/Defensive Specialist,Sr.,,"Rantoul, Ill.",St. Thomas More
Central Michigan,Elly Medendorp,Middle Blocker,Sr.,,"Alto, Mich.",Grand Rapids South Christian
Central Michigan,Brooklyn Conner,Middle Blocker,So.,,"Ada, Mich.",Forest Hills Central
Central Michigan,Linnea Willer,Opposite/Outside Hitter,Jr.,,"Freedom, Wis.",Freedom
Creighton,Ellie Bolton,Defensive Specialist,Sr.,,"Shawnee, Kan.",St. James Academy
Creighton,Norah Sis,Outside Hitter,Jr.,,"Papillion, Neb.",Papillion-La Vista
Creighton,Sky McCune,Defensive Specialist,So.,,"Gretna, Neb.",Gretna
Creighton,Ann Marie Remmes,Middle Blocker,So.,,"Lisle, Ill.",Benet Academy
Creighton,Kiara Reinhardt,Middle Blocker,Jr.,,"Cedarburg, Wis.",Cedarburg
Creighton,Jaya Johnson,Middle Blocker,Fr.,,"Olathe, Kan.",Olathe South
Creighton,Ava Martin,Outside Hitter,So.,,"Overland Park, Kan.",St. Thomas Aquinas
Creighton,Kiana Schmitt,Middle Blocker,Sr.,,"Waunakee, Wis.",Waunakee
Creighton,Ellie Bichelmeyer,Right Side Hitter,Sr.,,"Mission Hills, Kan.",St. Theresa's Academy
Creighton,Ava TeStrake,Right-Side Hitter/Outside Hitter,Fr.,,"Olathe, Kan.",Olathe West
Creighton,Morgan Colangelo,Defensive Specialist,R-Fr.,,"Overland Park, Kan.",Blue Valley West
Creighton,Katie Maser,Setter,Sr.,,"Grand Island, Neb.",Grand Island Central Catholic
Creighton,Kendra Wait,Setter,Jr.,,"Gardner, Kan.",Gardner Edgerton
Creighton,Emma Ziegler,Setter,Jr.,,"Castle Rock, Colo.",Valor Christian
Creighton,Destiny Ndam-Simpson,Outside Hitter,Fr.,,"Omaha, Neb.",Westside
Creighton,Audrey Clark,Setter,Fr.,,"Frisco, Texas",Wakeland
Creighton,Abbey Milner,Middle Blocker,Jr.,,"Lakeville, Minn.",North
Creighton,Sydney Breissinger,Defensive Specialist,Fr.,,"Cincinnati, Ohio",Ursuline Academy
Colorado,Emma Torstenson,Defensive Specialist/Libero,R-So.,,"Northfield, Minn.",Northfield
Colorado,Rian Finley,Setter,R-Fr.,,"Reno, Nev.",Reno
Colorado,Lexi Hadrych,Outside Hitter,Gr.,,"Murrieta, Calif.",Vista Murrieta
Colorado,Emilea Stepaniuk,Defensive Specialist/Libero,R-So.,,"Ridgefield, Wash.",Ridgefield
Colorado,Jahara Campbell,Outside Hitter,R-So.,,"Chandler, Ariz.",Hamilton
Colorado,Skyy Howard,Middle Blocker,Gr.,,"Charlotte, N.C.",Mallard Creek
Colorado,Bella Simkus,Middle Blocker,R-So.,,"Denver, Colo.",Denver East
Colorado,Avery Bolles,Defensive Specialist/ Libero,Fr.,,"Andover, Minn.",Andover High School
Colorado,Sydney  Jordan,Outside Hitter,Fr.,,"Houston, Texas",Ridge Point High School
Colorado,Morgan Riddle,Defensive Specialist/Libero,Sr.,,"Parker, Colo.",Chaparral
Colorado,Taylor Simpson,Setter,Jr.,,"Calabasas, Calif.",Sierra Canyon
Colorado,Cayla Payne,Middle Blocker,Fr.,,"Carlsbad, Calif.",Carlsbad
Colorado,Kendall Meller,Outside Hitter,R-Fr.,,"Brownsburg, Ind.",Brownsburg
Colorado,Alexia  Kuehl,Middle Blocker,R-Jr.,,"St. Johns, Fla.",Bartram Trail
Colorado,Ana Burilović,Outside Hitter,Fr.,,"Split, Croatia",V. Gimnasium “Vladimir Nazor”
Colorado,Annelise Rising,Outside Hitter,Fr.,,"Santa Monica, Calif.",Mayfield Senior School
Colorado,Lily Dwinell,Outside Hitter,Fr.,,"San Clemente, Calif.",San Clemente High School
Colorado,Emma DeSensi,Defensive Specialist/Libero,R-Fr.,,"Louisville, Ky.",Assumption
Colorado,Maya Tabron,Outside Hitter,Sr.,,"Gilroy, Calif.",Christopher
Coppin State,Genesis Hernandez,Defensive Specialist,Jr.,,"El Paso, Texas",Socorro HS
Coppin State,Ahzhi Coleman,Middle Hitter,Jr.,,"San Antonio, Texas",Brennan HS
Coppin State,Andrea Serrano,Setter,Jr.,,"Dorado, Puerto Rico",Colegio San Felipe
Coppin State,Ayanna Pharoah,Setter/Right Side,So.,,"Laurel, Md.",Howard HS
Coppin State,Ammaarah Williams,Middle Hitter/Outside Hitter,Gr.,,"Cleveland, Ohio",Maple Heights HS
Coppin State,Geraldyn Palacios,Middle Blocker,Sr.,,"Medellin, Colombia",I.E. Benjamin Herrera
Coppin State,Hope Casel,Outside Hitter,Jr.,,"Tyler, Texas",Tyler Legacy HS
Coppin State,Paola Caten,Outside Hitter,R-Sr.,,"Tampa, Fla.",Howard W. Blake HS
Coppin State,Andrea Tsvetanova,Setter,R-Sr.,,"Sofia, Bulgaria",Vladimir Stoichev
Coppin State,Coco Figueroa,Libero/Defensive Specialist,Fr.,,"Bayamon, Puerto Rico",Academia Discipulos de Cristo
Coppin State,Cameron Lucas,Middle Hitter/Right Side,Fr.,,"Atlanta, Ga.",Wheeler HS
Coppin State,Ashley Roman,Libero,R-Sr.,,"Isabela, Puerto Rico",Carib Christian School
Coppin State,Kaliko Schilling,Outside Hitter,Fr.,,"Hauula, Hawaii",Kahuku HS
Coppin State,Laila Ibrahim,Opposite/Middle Blocker,So.,,"Calgary, Alberta, Canada",St. Francis HS
Coppin State,TaKenya Stafford,Outside Hitter,So.,,"Los Angeles, Calif.",Bishop Montgomery HS
Coppin State,Divine Muo,Right Side,R-Fr.,,"Mckinney, Texas",Allen HS
Syracuse,Greta Schlichter,LB/DS,Fr.,5' 6'',"Lathen, Germany",Schul-Und Leistungssportzentrum
Syracuse,Veronica Sierzant,S,Fr.,6' 3'',"Savannah, Ga.",Islands
Syracuse,Alyssa Bert,DS/L,Gr.,5' 9'',"Oklahoma City, Okla.",Westmoore
Syracuse,Ariana Joubert,RH,So.,6' 1'',"Chicago, Ill.",Montini Catholic
Syracuse,Sydnie Waller,OH,Fr.,6' 0'',"Franklin, Tenn.",Centennial HS
Syracuse,Laila Smith,MB,Jr.,6' 2'',"New Castle, Ind.",New Castle
Syracuse,Zharia Harris-Waddy,MB,Fr.,6' 1'',"Lawnside, N.J.",Paul VI
Syracuse,Klara  Zarnovicka,OH,Jr.,6' 2'',"Ostrava, Czech Republic",Sportovni Gym
Syracuse,Melina Brooking,DS/LB,So.,5' 7'',"Laurel, Md.",St. John's College
Syracuse,Lauren McCabe,MB,Gr.,6' 2'',"Wilsonville, Oreg.",Jesuit Portland HS
Syracuse,Mira  Ledermueller,S,Fr.,6' 1'',"Endorf, Germany",Sportgymnasium Dresden
Syracuse,Raina Hughes,MB/RH,R-So.,6' 1'',"Williamstown, N.J.",Williamstown
Syracuse,Cherlin Antonio,OH/RH,Jr.,6' 3'',"La Romana, Dominican Republic",Luis Munoz Rivera
Dayton,Brooke Smith,Outside Hitter,R-Jr.,,"Leo, Ind.",Leo
Dayton,Gaby Arroyo,Libero/Outside Hitter,Fr.,,"Miami, Fla.",Westminster Christian
Dayton,Anna MacDonald,Libero/Defensive Specialist,Gr.,,"Alpharetta, Ga.",Blessed Trinity
Dayton,Lexie Almodovar,Outside Hitter/Libero,R-Jr.,,"Noblesville, Ind.",Noblesville
